gas_day,total_supply_mcm,total_demand_mcm,balance_mcm,status,complete,ingested_at,updated_at
2026-07-02,0.0,0.6705514336917563,-0.6705514336917563,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-03,0.0,0.7671325268817204,-0.7671325268817204,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-04,0.0,0.3023210573476702,-0.3023210573476702,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-05,154.5076152688172,151.83548643369176,2.6721288351254486,surplus,True,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-06,143.51820078853046,142.89931227598566,0.6188885125447996,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-07,0.0,0.5135381720430108,-0.5135381720430108,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-08,0.0,0.4803871863799283,-0.4803871863799283,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-09,0.0,0.482159229390681,-0.482159229390681,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-10,0.0,0.4558660394265233,-0.4558660394265233,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-11,0.0,0.2588025985663082,-0.2588025985663082,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-12,0.0,0.2701672043010752,-0.2701672043010752,balanced,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-13,141.00698772401435,145.5489287455197,-4.541941021505352,deficit,True,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-14,142.30743051971328,140.36538822580644,1.9420422939068374,balanced,True,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
2026-07-15,147.78289318996417,156.05225000000002,-8.269356810035845,deficit,False,2026-07-16T13:56:11.749032+00:00,2026-07-16T13:56:11.749032+00:00
